cell_id,reduction,delta_close_deg,q_c_rel,n,n_failed,p_mean_of_pair,p_mean_of_pair_lo,p_mean_of_pair_hi,n_p_mean_of_pair,p_arrive_C,p_arrive_C_lo,p_arrive_C_hi,n_p_arrive_C,p_arrive_AB,p_arrive_AB_lo,p_arrive_AB_hi,n_p_arrive_AB,p_timeout,p_timeout_lo,p_timeout_hi,n_p_timeout,p_no_commit,p_no_commit_lo,p_no_commit_hi,n_p_no_commit,p_final_mean_of_pair,p_final_mean_of_pair_lo,p_final_mean_of_pair_hi,n_p_final_mean_of_pair,p_bimodal_t2,p_bimodal_t2_lo,p_bimodal_t2_hi,n_p_bimodal_t2,p_merged_t2,p_merged_t2_lo,p_merged_t2_hi,n_p_merged_t2,p_commit_A,p_arrive_A,p_commit_B,p_arrive_B,p_commit_C,median_t_commit,median_t_arrival,mean_t_arrival,p_detector_fired,median_t_bif
20,sum,60.0,1.02,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.915,0.8681031145576462,0.9462547005301477,183,0.085,0.05374529946985246,0.13189688544235392,17,0.085,0.05374529946985246,0.13189688544235392,17,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.45,0.45,0.465,0.465,0.0,7.0,10.197202127994228,10.197654457534105,1.0,1.0
21,max,12.0,1.0,200,0,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.015,0.005114145184492387,0.043166480556278884,3,0.345,0.2825968690139029,0.41324539282077655,69,0.045,0.023852271724704166,0.08329759366096785,9,0.955,0.9167024063390322,0.9761477282752958,191,0.0,0.815,0.0,0.185,0.0,1.0,10.013909674192996,9.948953533248593,1.0,1.0
22,max,12.0,1.01,200,0,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.015,0.005114145184492387,0.043166480556278884,3,0.355,0.29198518653239286,0.4234801551839203,71,0.04,0.02040538715065641,0.07693293829419882,8,0.96,0.9230670617058012,0.9795946128493436,192,0.0,0.82,0.0,0.18,0.0,1.0,10.013278623288173,9.947141975722502,1.0,1.0
23,max,12.0,1.02,200,0,0.985,0.9568335194437211,0.9948858548155076,197,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.015,0.005114145184492387,0.043166480556278884,3,0.37,0.3061249750375241,0.43877498650123936,74,0.04,0.02040538715065641,0.07693293829419882,8,0.96,0.9230670617058012,0.9795946128493436,192,0.0,0.825,0.0,0.175,0.0,1.0,10.012636777104461,9.944865313449544,1.0,1.0
24,max,15.0,1.0,200,0,0.75,0.6856577652038048,0.8049192318370347,150,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.25,0.19508076816296532,0.3143422347961952,50,0.01,0.0027466006037749346,0.03572248519617954,2,0.285,0.22694905173277297,0.3511547308121051,57,0.715,0.648845269187895,0.773050948267227,143,0.0,0.53,0.0,0.47,0.0,1.0,9.603041689287062,9.607207465324022,1.0,1.0
25,max,15.0,1.01,200,0,0.76,0.69626534544272,0.8139347314797533,152,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.24,0.1860652685202468,0.3037346545572801,48,0.005,0.0008831459893662054,0.02777439986977148,1,0.28,0.22236792842635128,0.34592431417771,56,0.72,0.6540756858222899,0.7776320715736488,144,0.0,0.535,0.0,0.465,0.0,1.0,9.603198192659626,9.609470207738905,1.0,1.0
26,max,15.0,1.02,200,0,0.765,0.7015850701327535,0.8184265467305365,153,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.235,0.18157345326946356,0.29841492986724655,47,0.005,0.0008831459893662054,0.02777439986977148,1,0.275,0.21779604313809775,0.3406846595251467,55,0.725,0.6593153404748534,0.7822039568619022,145,0.0,0.54,0.0,0.46,0.0,1.0,9.603714868512933,9.611132185291861,1.0,1.0
27,max,20.0,1.0,200,0,0.065,0.03837598764975976,0.10802003749917945,13,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.39,0.325082297194914,0.45906382410711677,78,0.0,0.0,0.018846005918320894,0,0.875,0.8219846471534161,0.9138808484078432,175,0.125,0.0861191515921568,0.1780153528465839,25,0.0,0.0,0.0,0.405,0.545,11.0,25.524967255618655,19.22579258735257,1.0,1.0
28,max,20.0,1.01,200,0,0.065,0.03837598764975976,0.10802003749917945,13,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.39,0.325082297194914,0.45906382410711677,78,0.0,0.0,0.018846005918320894,0,0.875,0.8219846471534161,0.9138808484078432,175,0.125,0.0861191515921568,0.1780153528465839,25,0.0,0.0,0.0,0.405,0.545,11.0,25.517844117589586,19.220437403386168,1.0,1.0
29,max,20.0,1.02,200,0,0.065,0.03837598764975976,0.10802003749917945,13,0.595,0.5257958199999483,0.6606234388755706,119,0.405,0.3393765611244294,0.4742041800000517,81,0.0,0.0,0.018846005918320894,0,0.39,0.325082297194914,0.45906382410711677,78,0.0,0.0,0.018846005918320894,0,0.875,0.8219846471534161,0.9138808484078432,175,0.125,0.0861191515921568,0.1780153528465839,25,0.0,0.0,0.0,0.405,0.545,11.0,25.511678435306358,19.21592936051185,1.0,1.0
